id	parent	value	name
			Claude Perdriel
			Xavier Niel
			Matthieu Pigasse
			AOL
			Les Amis du Monde diplomatique
			Prisa
1	Claude Perdriel		Groupe Perdriel
1	Claude Perdriel	100	Groupe L’Opinon
1	Claude Perdriel	100	Le Nouveau Magazine littéraire
1	Claude Perdriel		Sophia Publications
2	Sophia Publications	100	Historia
2	Sophia Publications	100	L’histoire
3	Groupe Perdriel	100	Challenges
3	Groupe Perdriel	100	Sciences & Avenir
9	Prisa	100	Le Monde libre
10	Xavier Niel	100	Groupe La Provence
10	Xavier Niel	100	Le Monde libre
10	Xavier Niel	100	Le Nouveau Magazine littéraire
10	Xavier Niel	100	Nice-Matin
11	Matthieu Pigasse	2	Les Nouvelles Éditions indépendantes
12	Les Nouvelles Éditions indépendantes	11	Huffingtonpost.fr
12	Les Nouvelles Éditions indépendantes	51	Le Nouveau Monde
12	Les Nouvelles Éditions indépendantes	10	Les Inrockuptibles
12	Les Nouvelles Éditions indépendantes	0	Radio Nova
12	Les Nouvelles Éditions indépendantes	50	Vice.com
13	Le Nouveau Monde	26	Le Monde libre
14	Le Monde libre	99	L’Obs
14	Le Monde libre	75	Le Monde SA
15	Le Monde SA	100	Courrier international
15	Le Monde SA	34	Huffingtonpost.fr
15	Le Monde SA	100	La Vie
15	Le Monde SA	100	Le Monde
15	Le Monde SA	100	Le Monde des religions
15	Le Monde SA	51	Le Monde diplomatique
15	Le Monde SA	100	"M, le magazine du Monde"
15	Le Monde SA	51	Manière de voir
15	Le Monde SA	100	Prier
15	Le Monde SA	100	Télérama
27	AOL	100	Huffington Post
28	Huffington Post	51	Huffingtonpost.fr
33	Les Amis du Monde diplomatique	"24,5"	Le Monde diplomatique
33	Les Amis du Monde diplomatique	"24,5"	Manière de voir
